, , -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
five, A, 0.286, 0.286, 0.229, 0.286, 0.343, 0.371, 0.429, 0.343, 0.686, 0.229, 0.0, 0.0, 0.6, 0.2, 0.343, 0.171, 0.286, 0.257, 0.114, 0.343 
, T, 0.286, 0.2, 0.371, 0.171, 0.2, 0.286, 0.2, 0.114, 0.143, 0.114, 0.0, 1.0, 0.2, 0.486, 0.343, 0.514, 0.343, 0.457, 0.457, 0.257 
, C, 0.2, 0.257, 0.2, 0.229, 0.2, 0.171, 0.229, 0.229, 0.143, 0.114, 0.0, 0.0, 0.086, 0.2, 0.114, 0.229, 0.2, 0.2, 0.229, 0.143 
, G, 0.229, 0.257, 0.2, 0.314, 0.257, 0.171, 0.143, 0.314, 0.029, 0.543, 1.0, 0.0, 0.114, 0.114, 0.2, 0.086, 0.171, 0.086, 0.2, 0.257 
, Purine, 0.514, 0.543, 0.429, 0.6, 0.6, 0.543, 0.571, 0.657, 0.714, 0.771, 1.0, 0.0, 0.714, 0.314, 0.543, 0.257, 0.457, 0.343, 0.314, 0.6 
, Pyrimidine, 0.486, 0.457, 0.571, 0.4, 0.4, 0.457, 0.429, 0.343, 0.286, 0.229, 0.0, 1.0, 0.286, 0.686, 0.457, 0.743, 0.543, 0.657, 0.686, 0.4 
, AT, 0.571, 0.486, 0.6, 0.457, 0.543, 0.657, 0.629, 0.457, 0.829, 0.343, 0.0, 1.0, 0.8, 0.686, 0.686, 0.686, 0.629, 0.714, 0.571, 0.6 
, CG, 0.429, 0.514, 0.4, 0.543, 0.457, 0.343, 0.371, 0.543, 0.171, 0.657, 1.0, 0.0, 0.2, 0.314, 0.314, 0.314, 0.371, 0.286, 0.429, 0.4 
three, A, 0.314, 0.229, 0.343, 0.457, 0.343, 0.2, 0.343, 0.257, 1.0, 0.0, 0.229, 0.286, 0.343, 0.429, 0.257, 0.286, 0.171, 0.171, 0.371, 0.314 
, T, 0.2, 0.457, 0.371, 0.314, 0.371, 0.371, 0.257, 0.343, 0.0, 0.0, 0.114, 0.429, 0.343, 0.314, 0.286, 0.4, 0.314, 0.457, 0.171, 0.171 
, C, 0.143, 0.229, 0.229, 0.143, 0.2, 0.314, 0.171, 0.2, 0.0, 0.0, 0.143, 0.114, 0.229, 0.143, 0.2, 0.2, 0.143, 0.114, 0.286, 0.4 
, G, 0.343, 0.086, 0.057, 0.086, 0.086, 0.114, 0.229, 0.2, 0.0, 1.0, 0.514, 0.171, 0.086, 0.114, 0.257, 0.114, 0.371, 0.257, 0.171, 0.114 
, Purine, 0.657, 0.314, 0.4, 0.543, 0.429, 0.314, 0.571, 0.457, 1.0, 1.0, 0.743, 0.457, 0.429, 0.543, 0.514, 0.4, 0.543, 0.429, 0.543, 0.429 
, Pyrimidine, 0.343, 0.686, 0.6, 0.457, 0.571, 0.686, 0.429, 0.543, 0.0, 0.0, 0.257, 0.543, 0.571, 0.457, 0.486, 0.6, 0.457, 0.571, 0.457, 0.571 
, AT, 0.514, 0.686, 0.714, 0.771, 0.714, 0.571, 0.6, 0.6, 1.0, 0.0, 0.343, 0.714, 0.686, 0.743, 0.543, 0.686, 0.486, 0.629, 0.543, 0.486 
, CG, 0.486, 0.314, 0.286, 0.229, 0.286, 0.429, 0.4, 0.4, 0.0, 1.0, 0.657, 0.286, 0.314, 0.257, 0.457, 0.314, 0.514, 0.371, 0.457, 0.514 
